Species,English name,Family,Species_qts
Coregonus nigripinnis,Blackfin cisco,Salmonidae,"""Coregonus nigripinnis"""
Coregonus oxyrinchus,Houting,Salmonidae,"""Coregonus oxyrinchus"""
Coregonus peled,Peled,Salmonidae,"""Coregonus peled"""
Coregonus pidschian,Humpback whitefish,Salmonidae,"""Coregonus pidschian"""
Coregonus pollan,Irish pollan,Salmonidae,"""Coregonus pollan"""
Coregonus renke,,Salmonidae,"""Coregonus renke"""
Coregonus sardinella,Sardine cisco,Salmonidae,"""Coregonus sardinella"""
Coregonus tugun,Tugun,Salmonidae,"""Coregonus tugun"""
Coregonus ussuriensis,Amur whitefish,Salmonidae,"""Coregonus ussuriensis"""
Coregonus vandesius,,Salmonidae,"""Coregonus vandesius"""
Coregonus wartmanni,Blaufelchen,Salmonidae,"""Coregonus wartmanni"""
Coregonus widegreni,Valaam whitefish,Salmonidae,"""Coregonus widegreni"""
Coreobagrus ichikawai,Neko-gigi,Bagridae,"""Coreobagrus ichikawai"""
Coris auricularis,Western king wrasse,Labridae,"""Coris auricularis"""
Coris julis,Mediterranean rainbow wrasse,Labridae,"""Coris julis"""
Coryphaena equiselis,Pompano dolphinfish,Coryphaenidae,"""Coryphaena equiselis"""
Coryphaena hippurus,Common dolphinfish,Coryphaenidae,"""Coryphaena hippurus"""
Coryphaenoides acrolepis,Pacific grenadier,Macrouridae,"""Coryphaenoides acrolepis"""
Coryphaenoides cinereus,Popeye grenadier,Macrouridae,"""Coryphaenoides cinereus"""
Coryphaenoides guentheri,Günther's grenadier,Macrouridae,"""Coryphaenoides guentheri"""
Coryphaenoides mediterraneus,Mediterranean grenadier,Macrouridae,"""Coryphaenoides mediterraneus"""
Coryphaenoides rupestris,Roundnose grenadier,Macrouridae,"""Coryphaenoides rupestris"""
Cottocomephorus grewingkii,Baikal yellowfin,Cottidae,"""Cottocomephorus grewingkii"""
Cottus asperrimus,Rough sculpin,Cottidae,"""Cottus asperrimus"""
Cottus beldingii,Paiute sculpin,Cottidae,"""Cottus beldingii"""
Cottus cognatus,Slimy sculpin,Cottidae,"""Cottus cognatus"""
Cottus gobio,Bullhead,Cottidae,"""Cottus gobio"""
Cottus klamathensis,Marbled sculpin,Cottidae,"""Cottus klamathensis"""
Cottus pitensis,Pit sculpin,Cottidae,"""Cottus pitensis"""
Couesius plumbeus,Lake chub,Leuciscidae,"""Couesius plumbeus"""
Crenimugil buchanani,Bluetail mullet,Mugilidae,"""Crenimugil buchanani"""
Crenimugil seheli,Bluespot mullet,Mugilidae,"""Crenimugil seheli"""
Crystallogobius linearis,Crystal goby,Gobiidae,"""Crystallogobius linearis"""
Ctenochaetus striatus,Striated surgeonfish,Acanthuridae,"""Ctenochaetus striatus"""
Ctenochaetus strigosus,Spotted surgeonfish,Acanthuridae,"""Ctenochaetus strigosus"""
Ctenolabrus rupestris,Goldsinny-wrasse,Labridae,"""Ctenolabrus rupestris"""
Ctenopharyngodon idella,Grass carp,Xenocyprididae,"""Ctenopharyngodon idella"""
Ctenopharynx intermedius,Blackspot climbing perch,Cichlidae,"""Ctenopharynx intermedius"""
Ctenosciaena gracilicirrhus,Barbel drum,Sciaenidae,"""Ctenosciaena gracilicirrhus"""
Cubiceps caeruleus,Blue fathead,Nomeidae,"""Cubiceps caeruleus"""
Cubiceps pauciradiatus,Bigeye cigarfish,Nomeidae,"""Cubiceps pauciradiatus"""
Culter alburnus,,Xenocyprididae,"""Culter alburnus"""
Cycleptus elongatus,Blue sucker,Catostomidae,"""Cycleptus elongatus"""
Cycleptus meridionalis,southeastern blue sucker,Catostomidae,"""Cycleptus meridionalis"""
Cyclocheilichthys apogon,Beardless barb,Cyprinidae,"""Cyclocheilichthys apogon"""
Cyclopsetta chittendeni,Mexican flounder,Cyclopsettidae,"""Cyclopsetta chittendeni"""
Cyclopsetta querna,Toothed flounder,Cyclopsettidae,"""Cyclopsetta querna"""
Cyclopterus lumpus,Lumpfish,Cyclopteridae,"""Cyclopterus lumpus"""
Cyclothone acclinidens,Benttooth bristlemouth,Gonostomatidae,"""Cyclothone acclinidens"""
Cyclothone braueri,Garrick,Gonostomatidae,"""Cyclothone braueri"""
Cyema atrum,Bobtail eel,Cyematidae,"""Cyema atrum"""
Cymatoceps nasutus,Black musselcracker,Sparidae,"""Cymatoceps nasutus"""
Cynoglossus abbreviatus,Three-lined tongue sole,Cynoglossidae,"""Cynoglossus abbreviatus"""
Cynoglossus arel,Largescale tonguesole,Cynoglossidae,"""Cynoglossus arel"""
Cynoglossus canariensis,Canary tonguesole,Cynoglossidae,"""Cynoglossus canariensis"""
Cynoglossus joyneri,Red tonguesole,Cynoglossidae,"""Cynoglossus joyneri"""
Cynoglossus lida,Roughscale tonguesole,Cynoglossidae,"""Cynoglossus lida"""
Cynoglossus macrostomus,Malabar tonguesole,Cynoglossidae,"""Cynoglossus macrostomus"""
Cynoglossus puncticeps,Speckled tonguesole,Cynoglossidae,"""Cynoglossus puncticeps"""
Cynoglossus robustus,,Cynoglossidae,"""Cynoglossus robustus"""
Cynoglossus semifasciatus,Bengal tonguesole,Cynoglossidae,"""Cynoglossus semifasciatus"""
Cynoglossus senegalensis,Senegalese tonguesole,Cynoglossidae,"""Cynoglossus senegalensis"""
Cynopoecilus melanotaenia,,Rivulidae,"""Cynopoecilus melanotaenia"""
Cynoscion acoupa,Acoupa weakfish,Sciaenidae,"""Cynoscion acoupa"""
Cynoscion albus,Whitefin weakfish,Sciaenidae,"""Cynoscion albus"""
Cynoscion analis,Peruvian weakfish,Sciaenidae,"""Cynoscion analis"""
Cynoscion arenarius,Sand weakfish,Sciaenidae,"""Cynoscion arenarius"""
Cynoscion guatucupa,Stripped weakfish,Sciaenidae,"""Cynoscion guatucupa"""
Cynoscion jamaicensis,Jamaica weakfish,Sciaenidae,"""Cynoscion jamaicensis"""
Cynoscion leiarchus,Smooth weakfish,Sciaenidae,"""Cynoscion leiarchus"""
Cynoscion microlepidotus,Smallscale weakfish,Sciaenidae,"""Cynoscion microlepidotus"""
Cynoscion nebulosus,Spotted weakfish,Sciaenidae,"""Cynoscion nebulosus"""
Cynoscion nothus,Silver seatrout,Sciaenidae,"""Cynoscion nothus"""
Cynoscion othonopterus,Gulf weakfish,Sciaenidae,"""Cynoscion othonopterus"""
Cynoscion regalis,Squeteague,Sciaenidae,"""Cynoscion regalis"""
Cynoscion stolzmanni,Stolzmann's weakfish,Sciaenidae,"""Cynoscion stolzmanni"""
Cynoscion striatus,Striped weakfish,Sciaenidae,"""Cynoscion striatus"""
Cynoscion xanthulus,Orangemouth weakfish,Sciaenidae,"""Cynoscion xanthulus"""
Cyphocharax magdalenae,,Curimatidae,"""Cyphocharax magdalenae"""
Cyphocottus megalops,,Cottidae,"""Cyphocottus megalops"""
Cyphomyrus discorhynchus,Zambesi parrotfish,Mormyridae,"""Cyphomyrus discorhynchus"""
Cyprinion kais,Kais kingfish,Cyprinidae,"""Cyprinion kais"""
Cyprinion macrostomus,Tigris kingfish,Cyprinidae,"""Cyprinion macrostomus"""
Cyprinus carpio,Common carp,Cyprinidae,"""Cyprinus carpio"""
Cypselurus opisthopus,Black-finned flyingfish,Exocoetidae,"""Cypselurus opisthopus"""
Cyttus traversi,King dory,Cyttidae,"""Cyttus traversi"""
Dactyloptena orientalis,Oriental flying gurnard,Dactylopteridae,"""Dactyloptena orientalis"""
Dactylopterus volitans,Flying gurnard,Dactylopteridae,"""Dactylopterus volitans"""
Dalatias licha,Kitefin shark,Dalatiidae,"""Dalatias licha"""
Danio rerio,Zebra danio,Danionidae,"""Danio rerio"""
Dascyllus albisella,Hawaiian dascyllus,Pomacentridae,"""Dascyllus albisella"""
Dascyllus aruanus,Whitetail dascyllus,Pomacentridae,"""Dascyllus aruanus"""
Dascyllus reticulatus,Reticulate dascyllus,Pomacentridae,"""Dascyllus reticulatus"""
Dasyatis chrysonota,Blue stingray,Dasyatidae,"""Dasyatis chrysonota"""
Dasyatis pastinaca,Common stingray,Dasyatidae,"""Dasyatis pastinaca"""
Dasycottus setiger,Spinyhead sculpin,Psychrolutidae,"""Dasycottus setiger"""
Datnioides undecimradiatus,Mekong tiger perch,Lobotidae,"""Datnioides undecimradiatus"""
Dawkinsia denisonii,Denison barb,Cyprinidae,"""Dawkinsia denisonii"""
Deania calceus,Birdbeak dogfish,Centrophoridae,"""Deania calceus"""
Decapterus kurroides,Redtail scad,Carangidae,"""Decapterus kurroides"""
Decapterus macarellus,Mackerel scad,Carangidae,"""Decapterus macarellus"""
Decapterus macrosoma,Shortfin scad,Carangidae,"""Decapterus macrosoma"""
Decapterus maruadsi,Japanese scad,Carangidae,"""Decapterus maruadsi"""
Decapterus punctatus,Round scad,Carangidae,"""Decapterus punctatus"""
Decapterus russelli,Indian scad,Carangidae,"""Decapterus russelli"""
Decapterus tabl,Roughear scad,Carangidae,"""Decapterus tabl"""
Deltentosteus quadrimaculatus,Four-spotted goby,Gobiidae,"""Deltentosteus quadrimaculatus"""
Dendrophysa russelii,Goatee croaker,Sciaenidae,"""Dendrophysa russelii"""
Dentex angolensis,Angolan dentex,Sparidae,"""Dentex angolensis"""
Dentex canariensis,Canary dentex,Sparidae,"""Dentex canariensis"""
Dentex congoensis,Congo dentex,Sparidae,"""Dentex congoensis"""
Dentex dentex,Common dentex,Sparidae,"""Dentex dentex"""
Dentex gibbosus,Pink dentex,Sparidae,"""Dentex gibbosus"""
Dentex macrophthalmus,Large-eye dentex,Sparidae,"""Dentex macrophthalmus"""
Dentex maroccanus,Morocco dentex,Sparidae,"""Dentex maroccanus"""
Deveximentum insidiator,Pugnose ponyfish,Leiognathidae,"""Deveximentum insidiator"""
Deveximentum ruconius,Deep pugnose ponyfish,Leiognathidae,"""Deveximentum ruconius"""
Diagramma pictum,Painted sweetlips,Haemulidae,"""Diagramma pictum"""
Diaphus dumerilii,Dumeril's lanternfish,Myctophidae,"""Diaphus dumerilii"""
Diaphus suborbitalis,,Myctophidae,"""Diaphus suborbitalis"""
Diaphus theta,California headlightfish,Myctophidae,"""Diaphus theta"""
Diaphus watasei,Watases lanternfish,Myctophidae,"""Diaphus watasei"""
Diapterus peruvianus,Peruvian mojarra,Gerreidae,"""Diapterus peruvianus"""
Diapterus rhombeus,Caitipa mojarra,Gerreidae,"""Diapterus rhombeus"""
Dicentrarchus labrax,European seabass,Moronidae,"""Dicentrarchus labrax"""
Dicentrarchus punctatus,Spotted seabass,Moronidae,"""Dicentrarchus punctatus"""
Dichistius capensis,Galjoen,Dichistiidae,"""Dichistius capensis"""
Dicologlossa cuneata,Wedge sole,Soleidae,"""Dicologlossa cuneata"""
Diodon holocanthus,Longspined porcupinefish,Diodontidae,"""Diodon holocanthus"""
Diplectrum formosum,Sand perch,Serranidae,"""Diplectrum formosum"""
Diplodus annularis,Annular seabream,Sparidae,"""Diplodus annularis"""
Diplodus bellottii,Senegal seabream,Sparidae,"""Diplodus bellottii"""
Diplodus cadenati,Moroccan white seabream,Sparidae,"""Diplodus cadenati"""
Diplodus capensis,Cape white seabream,Sparidae,"""Diplodus capensis"""
Diplodus cervinus,Zebra seabream,Sparidae,"""Diplodus cervinus"""
Diplodus hottentotus,Zebra,Sparidae,"""Diplodus hottentotus"""
Diplodus puntazzo,Sharpsnout seabream,Sparidae,"""Diplodus puntazzo"""
Diplodus sargus,White seabream,Sparidae,"""Diplodus sargus"""
Diplodus vulgaris,Common two-banded seabream,Sparidae,"""Diplodus vulgaris"""
Dipturus batis,Blue skate,Rajidae,"""Dipturus batis"""
Dipturus chinensis,,Rajidae,"""Dipturus chinensis"""
Dipturus innominatus,New Zealand smooth skate,Rajidae,"""Dipturus innominatus"""
Dipturus laevis,Barndoor skate,Rajidae,"""Dipturus laevis"""
Dipturus oxyrinchus,Longnosed skate,Rajidae,"""Dipturus oxyrinchus"""
Dipturus pullopunctatus,Slime skate,Rajidae,"""Dipturus pullopunctatus"""
Dipturus trachyderma,Ray,Rajidae,"""Dipturus trachyderma"""
Discherodontus ashmeadi,,Cyprinidae,"""Discherodontus ashmeadi"""
Dissostichus eleginoides,Patagonian toothfish,Nototheniidae,"""Dissostichus eleginoides"""
Dissostichus mawsoni,Antarctic toothfish,Nototheniidae,"""Dissostichus mawsoni"""
Distichodus rostratus,Grass-eater,Distichodontidae,"""Distichodus rostratus"""
Doederleinia berycoides,Blackthroat seaperch,Acropomatidae,"""Doederleinia berycoides"""
Dolichopteryx longipes,Brownsnout spookfish,Opisthoproctidae,"""Dolichopteryx longipes"""
Dolloidraco longedorsalis,,Artedidraconidae,"""Dolloidraco longedorsalis"""
Dormitator latifrons,Pacific fat sleeper,Eleotridae,"""Dormitator latifrons"""
Dorosoma cepedianum,American gizzard shad,Dorosomatidae,"""Dorosoma cepedianum"""
Drepane africana,African sicklefish,Drepaneidae,"""Drepane africana"""
Drepane punctata,Spotted sicklefish,Drepaneidae,"""Drepane punctata"""
Dules auriga,Cochero,Serranidae,"""Dules auriga"""
Dussumieria acuta,Rainbow sardine,Dussumieriidae,"""Dussumieria acuta"""
Dussumieria albulina,Lancer rainbow sardine,Dussumieriidae,"""Dussumieria albulina"""
Dussumieria elopsoides,Slender rainbow sardine,Dussumieriidae,"""Dussumieria elopsoides"""
Economidichthys trichonis,Trichonis dwarf goby,Gobiidae,"""Economidichthys trichonis"""
Elagatis bipinnulata,Rainbow runner,Carangidae,"""Elagatis bipinnulata"""
Electrona antarctica,Antarctic lanternfish,Myctophidae,"""Electrona antarctica"""
Electrona carlsbergi,Electron subantarctic,Myctophidae,"""Electrona carlsbergi"""
Electrona risso,Electric lantern fish,Myctophidae,"""Electrona risso"""
Eleginops maclovinus,Patagonian blennie,Eleginopidae,"""Eleginops maclovinus"""
Eleginus gracilis,Saffron cod,Gadidae,"""Eleginus gracilis"""
Eleotris oxycephala,,Eleotridae,"""Eleotris oxycephala"""
Elopichthys bambusa,Yellowcheek,Xenocyprididae,"""Elopichthys bambusa"""
Elops lacerta,West African ladyfish,Elopidae,"""Elops lacerta"""
Elops machnata,Tenpounder,Elopidae,"""Elops machnata"""
Elops saurus,Ladyfish,Elopidae,"""Elops saurus"""
Emmelichthys nitidus,Cape bonnetmouth,Emmelichthyidae,"""Emmelichthys nitidus"""
Enchelyopus cimbrius,Fourbeard rockling,Gaidropsaridae,"""Enchelyopus cimbrius"""
Encrasicholina devisi,Devis' anchovy,Engraulidae,"""Encrasicholina devisi"""
Encrasicholina heteroloba,Shorthead anchovy,Engraulidae,"""Encrasicholina heteroloba"""
Encrasicholina punctifer,Buccaneer anchovy,Engraulidae,"""Encrasicholina punctifer"""
Encrasicholina purpurea,Nehu,Engraulidae,"""Encrasicholina purpurea"""
Engraulicypris sardella,Lake Malawi sardine,Danionidae,"""Engraulicypris sardella"""
Engraulis anchoita,Argentine anchovy,Engraulidae,"""Engraulis anchoita"""
Engraulis australis,Australian anchovy,Engraulidae,"""Engraulis australis"""
Engraulis capensis,Southern African anchovy,Engraulidae,"""Engraulis capensis"""
Engraulis encrasicolus,European anchovy,Engraulidae,"""Engraulis encrasicolus"""
Engraulis japonicus,Japanese anchovy,Engraulidae,"""Engraulis japonicus"""
Engraulis mordax,Californian anchovy,Engraulidae,"""Engraulis mordax"""
Engraulis ringens,Anchoveta,Engraulidae,"""Engraulis ringens"""
Enneapterygius atriceps,Hawaiian blackhead triplefin,Tripterygiidae,"""Enneapterygius atriceps"""
Enteromius holotaenia,Spotscale barb,Cyprinidae,"""Enteromius holotaenia"""
Enteromius liberiensis,,Cyprinidae,"""Enteromius liberiensis"""
Enteromius paludinosus,Straightfin barb,Cyprinidae,"""Enteromius paludinosus"""
Enteromius trimaculatus,Threespot barb,Cyprinidae,"""Enteromius trimaculatus"""
Eopsetta grigorjewi,Shotted halibut,Pleuronectidae,"""Eopsetta grigorjewi"""
Eopsetta jordani,Petrale sole,Pleuronectidae,"""Eopsetta jordani"""
Epigonus angustifrons,,Epigonidae,"""Epigonus angustifrons"""
Epigonus elegans,,Epigonidae,"""Epigonus elegans"""
Epigonus telescopus,Black cardinal fish,Epigonidae,"""Epigonus telescopus"""
Epinephelides armatus,Breaksea cod,Anthiadidae,"""Epinephelides armatus"""
Epinephelus adscensionis,Rock hind,Epinephelidae,"""Epinephelus adscensionis"""
Epinephelus aeneus,White grouper,Epinephelidae,"""Epinephelus aeneus"""
Epinephelus akaara,Hong Kong grouper,Epinephelidae,"""Epinephelus akaara"""
Epinephelus areolatus,Areolate grouper,Epinephelidae,"""Epinephelus areolatus"""
Epinephelus bleekeri,Duskytail grouper,Epinephelidae,"""Epinephelus bleekeri"""
Epinephelus caninus,Dogtooth grouper,Epinephelidae,"""Epinephelus caninus"""
Epinephelus chlorostigma,Brownspotted grouper,Epinephelidae,"""Epinephelus chlorostigma"""
Epinephelus coioides,Orange-spotted grouper,Epinephelidae,"""Epinephelus coioides"""
Epinephelus costae,Goldblotch grouper,Epinephelidae,"""Epinephelus costae"""
Epinephelus cyanopodus,Speckled blue grouper,Epinephelidae,"""Epinephelus cyanopodus"""
Epinephelus diacanthus,Spinycheek grouper,Epinephelidae,"""Epinephelus diacanthus"""
Epinephelus drummondhayi,Speckled hind,Epinephelidae,"""Epinephelus drummondhayi"""
Epinephelus fasciatus,Blacktip grouper,Epinephelidae,"""Epinephelus fasciatus"""
Epinephelus fuscoguttatus,Brown-marbled grouper,Epinephelidae,"""Epinephelus fuscoguttatus"""
Epinephelus guttatus,Red hind,Epinephelidae,"""Epinephelus guttatus"""
Epinephelus hexagonatus,Starspotted grouper,Epinephelidae,"""Epinephelus hexagonatus"""
Epinephelus itajara,Atlantic goliath grouper,Epinephelidae,"""Epinephelus itajara"""
Epinephelus labriformis,Starry grouper,Epinephelidae,"""Epinephelus labriformis"""
Epinephelus latifasciatus,Striped grouper,Epinephelidae,"""Epinephelus latifasciatus"""
Epinephelus maculatus,Highfin grouper,Epinephelidae,"""Epinephelus maculatus"""
Epinephelus malabaricus,Malabar grouper,Epinephelidae,"""Epinephelus malabaricus"""
Epinephelus marginatus,Dusky grouper,Epinephelidae,"""Epinephelus marginatus"""
Epinephelus merra,Honeycomb grouper,Epinephelidae,"""Epinephelus merra"""
Epinephelus morio,Red grouper,Epinephelidae,"""Epinephelus morio"""
Epinephelus morrhua,Comet grouper,Epinephelidae,"""Epinephelus morrhua"""
Epinephelus multinotatus,White-blotched grouper,Epinephelidae,"""Epinephelus multinotatus"""
Epinephelus ongus,White-streaked grouper,Epinephelidae,"""Epinephelus ongus"""
Epinephelus polylepis,Smallscaled grouper,Epinephelidae,"""Epinephelus polylepis"""
Epinephelus polyphekadion,Camouflage grouper,Epinephelidae,"""Epinephelus polyphekadion"""
Epinephelus quoyanus,Longfin grouper,Epinephelidae,"""Epinephelus quoyanus"""
Epinephelus rivulatus,Halfmoon grouper,Epinephelidae,"""Epinephelus rivulatus"""
Epinephelus sexfasciatus,Sixbar grouper,Epinephelidae,"""Epinephelus sexfasciatus"""
Epinephelus striatus,Nassau grouper,Epinephelidae,"""Epinephelus striatus"""
Epinephelus tauvina,Greasy grouper,Epinephelidae,"""Epinephelus tauvina"""
Epinephelus tukula,Potato grouper,Epinephelidae,"""Epinephelus tukula"""
Eptatretus polytrema,Fourteen-gill hagfish,Myxinidae,"""Eptatretus polytrema"""
Equulites klunzingeri,Klunzinger's ponyfish,Leiognathidae,"""Equulites klunzingeri"""
Equulites leuciscus,Whipfin ponyfish,Leiognathidae,"""Equulites leuciscus"""
Equulites lineolatus,Ornate ponyfish,Leiognathidae,"""Equulites lineolatus"""
Equulites popei,Pope's ponyfish,Leiognathidae,"""Equulites popei"""
Erilepis zonifer,Skilfish,Anoplopomatidae,"""Erilepis zonifer"""
Erpetoichthys calabaricus,Reedfish,Polypteridae,"""Erpetoichthys calabaricus"""
Erythrocles schlegelii,Japanese rubyfish,Emmelichthyidae,"""Erythrocles schlegelii"""
Escualosa thoracata,White sardine,Dorosomatidae,"""Escualosa thoracata"""
Esmaeilius sophiae,,Aphaniidae,"""Esmaeilius sophiae"""
Esox americanus,Redfin pickerel,Esocidae,"""Esox americanus"""
Esox lucius,Northern pike,Esocidae,"""Esox lucius"""
Esox masquinongy,Muskellunge,Esocidae,"""Esox masquinongy"""
Esox niger,Chain pickerel,Esocidae,"""Esox niger"""
Esox reichertii,Amur pike,Esocidae,"""Esox reichertii"""
Etelis carbunculus,Deep-water red snapper,Lutjanidae,"""Etelis carbunculus"""
Etelis coruscans,Deepwater longtail red snapper,Lutjanidae,"""Etelis coruscans"""
Etelis oculatus,Queen snapper,Lutjanidae,"""Etelis oculatus"""
Etelis radiosus,Pale snapper,Lutjanidae,"""Etelis radiosus"""
Etheostoma caeruleum,Rainbow darter,Percidae,"""Etheostoma caeruleum"""
Etheostoma flabellare,Fantail darter,Percidae,"""Etheostoma flabellare"""
Etheostoma juliae,Yoke darter,Percidae,"""Etheostoma juliae"""
Etheostoma nigrum,Johnny darter,Percidae,"""Etheostoma nigrum"""
Etheostoma sagitta,Arrow darter,Percidae,"""Etheostoma sagitta"""
Ethmalosa fimbriata,Bonga shad,Dorosomatidae,"""Ethmalosa fimbriata"""
Etmopterus granulosus,Southern lanternshark,Etmopteridae,"""Etmopterus granulosus"""
Etmopterus spinax,Velvet belly,Etmopteridae,"""Etmopterus spinax"""
Etropus crossotus,Fringed flounder,Cyclopsettidae,"""Etropus crossotus"""
Etrumeus acuminatus,,Dussumieriidae,"""Etrumeus acuminatus"""
Etrumeus golanii,,Dussumieriidae,"""Etrumeus golanii"""
Etrumeus micropus,,Dussumieriidae,"""Etrumeus micropus"""
Etrumeus sadina,Red-eye round herring,Dussumieriidae,"""Etrumeus sadina"""
Etrumeus whiteheadi,Whitehead's round herring,Dussumieriidae,"""Etrumeus whiteheadi"""
Eubleekeria splendens,Splendid ponyfish,Leiognathidae,"""Eubleekeria splendens"""
Eucinostomus argenteus,Silver mojarra,Gerreidae,"""Eucinostomus argenteus"""
Eucinostomus gula,Jenny mojarra,Gerreidae,"""Eucinostomus gula"""
Eudontomyzon mariae,Ukrainian brook lamprey,Petromyzontidae,"""Eudontomyzon mariae"""
Eugerres brasilianus,Brazilian mojarra,Gerreidae,"""Eugerres brasilianus"""
Eugerres plumieri,Striped mojarra,Gerreidae,"""Eugerres plumieri"""
Eumegistus illustris,Brilliant pomfret,Bramidae,"""Eumegistus illustris"""
Euthynnus affinis,Kawakawa,Scombridae,"""Euthynnus affinis"""
Euthynnus alletteratus,Little tunny,Scombridae,"""Euthynnus alletteratus"""
Eutrigla gurnardus,Grey gurnard,Triglidae,"""Eutrigla gurnardus"""
Eutropiichthys vacha,Batchwa vacha,Schilbeidae,"""Eutropiichthys vacha"""
Evermannella melanoderma,Indian sabertooth,Evermannellidae,"""Evermannella melanoderma"""
Eviota melasma,Headspot dwarfgoby,Gobiidae,"""Eviota melasma"""
Eviota queenslandica,Queensland dwarfgoby,Gobiidae,"""Eviota queenslandica"""
Eviota sigillata,Adorned dwarfgoby,Gobiidae,"""Eviota sigillata"""
Evynnis cardinalis,Threadfin porgy,Sparidae,"""Evynnis cardinalis"""
Evynnis ehrenbergii,,Sparidae,"""Evynnis ehrenbergii"""
Evynnis tumifrons,Yellowback seabream,Sparidae,"""Evynnis tumifrons"""
Facciolella gilbertii,Dogface witch-eel,Nettastomatidae,"""Facciolella gilbertii"""
Favonigobius lateralis,Southern longfin goby,Gobiidae,"""Favonigobius lateralis"""
Favonigobius lentiginosus,Eastern longfin goby,Gobiidae,"""Favonigobius lentiginosus"""
Ferdauia ferdau,Blue trevally,Carangidae,"""Ferdauia ferdau"""
Filimanus heptadactyla,Sevenfinger threadfin,Polynemidae,"""Filimanus heptadactyla"""
Fistularia commersonii,Bluespotted cornetfish,Fistulariidae,"""Fistularia commersonii"""
Flavocaranx bajad,Orangespotted trevally,Carangidae,"""Flavocaranx bajad"""
Forbesichthys agassizii,Spring cavefish,Amblyopsidae,"""Forbesichthys agassizii"""
Forsterygion lapillum,Common triplefin,Tripterygiidae,"""Forsterygion lapillum"""
Forsterygion varium,Striped triplefin,Tripterygiidae,"""Forsterygion varium"""
Fundulus grandis,Gulf killifish,Fundulidae,"""Fundulus grandis"""
Fundulus heteroclitus,Mummichog,Fundulidae,"""Fundulus heteroclitus"""
Fundulus parvipinnis,California killifish,Fundulidae,"""Fundulus parvipinnis"""
Furgaleus macki,Whiskery shark,Triakidae,"""Furgaleus macki"""
Gadiculus argenteus,Silvery pout,Gadidae,"""Gadiculus argenteus"""
Gadiculus thori,Silvery cod,Gadidae,"""Gadiculus thori"""
Gadus chalcogrammus,Alaska pollock,Gadidae,"""Gadus chalcogrammus"""
Gadus macrocephalus,Pacific cod,Gadidae,"""Gadus macrocephalus"""
Gadus morhua,Atlantic cod,Gadidae,"""Gadus morhua"""
Gaidropsarus guttatus,Spotted rockling,Gaidropsaridae,"""Gaidropsarus guttatus"""
Gaidropsarus mediterraneus,Shore rockling,Gaidropsaridae,"""Gaidropsarus mediterraneus"""
Gaidropsarus vulgaris,Three-bearded rockling,Gaidropsaridae,"""Gaidropsarus vulgaris"""
Galaxias maculatus,Inanga,Galaxiidae,"""Galaxias maculatus"""
Galaxias occidentalis,Western galaxias,Galaxiidae,"""Galaxias occidentalis"""
Galaxias olidus,Mountain Galaxias,Galaxiidae,"""Galaxias olidus"""
Galaxiella munda,Western dwarf galaxias,Galaxiidae,"""Galaxiella munda"""
Galaxiella nigrostriata,Blackstriped dwarf galaxias,Galaxiidae,"""Galaxiella nigrostriata"""
Galaxiella pusilla,Eastern dwarf galaxias,Galaxiidae,"""Galaxiella pusilla"""
Galeocerdo cuvier,Tiger shark,Galeocerdonidae,"""Galeocerdo cuvier"""
Galeoides decadactylus,Lesser African threadfin,Polynemidae,"""Galeoides decadactylus"""
Galeorhinus galeus,Tope shark,Triakidae,"""Galeorhinus galeus"""
Galeus melastomus,Blackmouth catshark,Pentanchidae,"""Galeus melastomus"""
Gambusia affinis,Mosquitofish,Poeciliidae,"""Gambusia affinis"""
Garra kemali,Ere?li minnow,Cyprinidae,"""Garra kemali"""
Garra mullya,Sucker fish,Cyprinidae,"""Garra mullya"""
Garra rufa,Red garra,Cyprinidae,"""Garra rufa"""
Gasterosteus aculeatus,Three-spined stickleback,Gasterosteidae,"""Gasterosteus aculeatus"""
Gazza minuta,Toothpony,Leiognathidae,"""Gazza minuta"""
Genidens barbus,White sea catfish,Ariidae,"""Genidens barbus"""
Genidens genidens,Guri sea catfish,Ariidae,"""Genidens genidens"""
Genypterus blacodes,Pink cusk-eel,Ophidiidae,"""Genypterus blacodes"""
Genypterus capensis,Kingklip,Ophidiidae,"""Genypterus capensis"""
Geophagus brasiliensis,Pearl cichlid,Cichlidae,"""Geophagus brasiliensis"""
Gerlachea australis,,Bathydraconidae,"""Gerlachea australis"""
Gerres cinereus,Yellow fin mojarra,Gerreidae,"""Gerres cinereus"""
Gerres filamentosus,Whipfin silver-biddy,Gerreidae,"""Gerres filamentosus"""
Gerres longirostris,Strongspine silver-biddy,Gerreidae,"""Gerres longirostris"""
Gerres oyena,Common silver-biddy,Gerreidae,"""Gerres oyena"""
Gerres setifer,Small Bengal silver-biddy,Gerreidae,"""Gerres setifer"""
Gigantura indica,Telescopefish,Giganturidae,"""Gigantura indica"""
Gila atraria,Utah chub,Leuciscidae,"""Gila atraria"""
Gila cypha,Humpback chub,Leuciscidae,"""Gila cypha"""
Ginglymostoma cirratum,Nurse shark,Ginglymostomatidae,"""Ginglymostoma cirratum"""
Girella punctata,Largescale blackfish,Girellidae,"""Girella punctata"""
Girella tricuspidata,Parore,Girellidae,"""Girella tricuspidata"""
Glaniopsis hanitschi,,Gastromyzontidae,"""Glaniopsis hanitschi"""
